case_id,accepted,first_withdrawal_amount,monthly_cost,payback_period,requested_amount,offered_amount,credit_score,offer_amt_less_than_requested,chased
Application_1514719904,1,0,50,138,5000,5000,889,0,0
Application_1514800647,1,0,100,58,5000,5000,787,0,0
Application_1514842927,1,5179,254.56,120,0,25000,1025,0,0
Application_1514871554,1,0,150,127,0,15000,0,0,0
Application_1515048838,1,10181,617.61,84,0,45000,948,0,0
Application_151505824,0,8000,90.08,120,8000,8000,698,0,0
Application_1515175359,1,5500,244.54,24,5500,5500,0,0,0
Application_151521797,1,17000,320.29,59,17000,17000,912,0,0
Application_151530909,1,0,300,126,20000,30000,921,0,0
Application_1515600606,1,4,224.2,78,20000,15000,947,1,1
Application_1515669954,0,2500,300,89,0,22500,0,0,0
Application_1516312544,0,7500,229.23,36,7500,7500,669,0,0
Application_1516465659,0,0,400,89,30000,30000,0,0,0
Application_1517140316,1,8000,90.08,120,8000,8000,1097,0,0
Application_1517306838,1,0,1000,75,65000,65000,0,0,0
Application_1517682432,1,17000,238.63,84,17000,17000,917,0,0
Application_1517805334,1,3035,239.09,60,12500,12500,714,0,1
Application_1517932106,1,16000,350.19,50,16000,16000,1016,0,0
Application_1518048032,1,10000,200.95,56,10000,10000,0,0,0
Application_1518212981,1,0,231.17,120,22500,22500,881,0,0
Application_1518351559,1,0,300,126,30000,30000,0,0,0
Application_1518477094,0,7492,262.09,72,16600,16600,931,0,0
Application_1518826265,0,0,198.49,48,8400,8400,868,0,0
Application_1518842217,0,6000,198.54,33,15000,6000,0,1,0
Application_1519229956,1,6000,199.56,33,6000,6000,943,0,0
Application_151961393,1,5002,391.27,24,5000,8800,823,0,0
Application_1519896529,1,0,150,58,0,7500,0,0,0
Application_1519949994,1,7813,417.47,120,41000,41000,733,0,1
Application_1519996684,1,10000,200,57,10000,10000,1065,0,0
Application_1520636792,0,0,200,47,8000,8300,979,0,0
Application_1521101812,1,196,337.05,82,15000,23900,872,0,0
Application_1521189869,1,5863.88,417.47,120,6000,41000,812,0,0
Application_1521468514,0,18000,199.89,109,18000,18000,922,0,0
Application_1521502972,0,0,350,126,35000,35000,0,0,0
Application_1521819397,0,31000,310,126,50000,31000,0,1,1
Application_1522033603,1,15000,278.38,60,15000,15000,952,0,0
Application_1522107668,1,348,323.39,90,25000,25000,904,0,0
Application_1522309222,0,10000,300.07,36,10000,10000,0,0,0
Application_1522555361,1,18158,354.97,100,30000,30000,809,0,0
Application_1523180868,0,5000,222.31,24,5000,5000,693,0,0
Application_1523593634,0,5000,100.25,58,5000,5000,0,0,0
Application_1523673060,1,6000,183.39,36,6000,6000,1099,0,0
Application_1523736860,1,15000,340.8,48,15000,15000,0,0,0
Application_1523893963,1,15000,157.59,120,15000,15000,939,0,0
Application_1524252048,1,10995,499.6,55,25000,25000,881,0,0
Application_1524290922,0,3385.19,106.46,120,10000,10000,702,0,0
Application_1524427650,1,10000,189.08,60,10000,10000,925,0,0
Application_1524610124,1,8000,90.08,120,8000,8000,1075,0,0
Application_1525849944,0,5000,97.4,60,5000,5000,0,0,1
Application_1526010181,1,15000,249.04,68,15000,15000,1064,0,0
Application_1526270064,1,121,300.07,36,0,10000,885,0,1
Application_1526304113,0,0,375,77,25000,25000,879,0,1
Application_1526447294,1,1000,100,58,5000,5000,904,0,0
Application_1526559453,1,0,100,134,0,10000,849,0,0
Application_1526587361,0,6000,509.11,120,50000,50000,0,0,0
Application_1526642233,1,6000,120.3,58,6000,6000,972,0,0
Application_1526692440,1,6085,259.19,65,15000,15000,896,0,0
Application_1526860350,1,10000,106.46,120,10000,10000,903,0,0
Application_152693083,1,14793,324.77,60,17500,17500,0,0,0
Application_152697057,1,8984,236.31,120,23000,23000,853,0,0
Application_1527082105,1,25000,186.44,180,25000,25000,977,0,0
Application_1527112278,1,575.34,199.32,120,0,19400,863,0,1
Application_1527181298,0,50,50,138,5000,5000,0,0,0
Application_1527338408,0,20000,205.49,120,15000,20000,0,0,1
Application_1527486669,1,6000,100,72,6000,6000,839,0,0
Application_152766007,0,8900,294.5,33,8900,8900,670,0,0
Application_152784845,1,7500,298.17,29,20000,8000,0,1,0
Application_1528113685,1,12000,226.9,60,12000,12000,1067,0,0
Application_1528409499,0,0,200,74,12500,12500,0,0,0
Application_1528488516,1,10000,173.94,67,0,10000,757,0,0
Application_1528592084,0,2348,97.4,60,5000,5000,0,0,0
Application_1529124572,0,0,250,22,5000,5000,835,0,0
Application_1529357596,1,0,450,126,45000,45000,0,0,0
Application_1529698091,1,10000,106.46,120,10000,10000,1145,0,0
Application_1530322400,0,5000,153.68,36,5000,5000,0,0,0
Application_1530527378,1,0,300,126,30000,30000,0,0,0
Application_1530910022,1,0,75,138,7500,7500,0,0,0
Application_1530918775,1,15000,249.04,68,15000,15000,937,0,1
Application_1531056635,1,0,200,57,10000,10000,949,0,1
Application_1531372937,0,11000,228.3,54,12500,11000,0,1,0
Application_1531410713,1,5000,152.82,36,5000,5000,940,0,0
Application_1531439263,0,16641,254.56,120,25000,25000,833,0,0
Application_1531680018,1,10000,737.17,14,10000,10000,956,0,0
Application_1532119586,1,20000,350,65,20000,20000,963,0,0
Application_1532124749,1,30000,349,105,30000,30000,956,0,0
Application_1532156214,1,1500,97.4,60,5000,5000,923,0,0
Application_1532284975,1,26000,495.17,58,26000,26000,878,0,0
Application_1532778101,1,1000,100,58,5000,5000,857,0,0
Application_1532811638,1,5500,100,134,10000,10000,898,0,0
Application_15330255,1,846.56,661.85,120,65000,65000,0,0,0
Application_1533049762,1,8802,184.94,120,18000,18000,923,0,0
Application_1533701290,1,16500,248.5,76,16500,16500,892,0,0
Application_1534175598,1,18000,408.95,48,18000,18000,0,0,0
Application_1534293242,1,21768,261.48,120,25000,25000,998,0,0
Application_1534520017,1,4000,100,58,0,5000,820,0,0
Application_1534677416,1,640,274.34,53,13000,13000,749,0,0
Application_1535071990,1,5000,98.8,59,0,5000,875,0,0
Application_153538723,1,2266.88,100,58,5000,5000,0,0,0
Application_1535488836,0,2000,156.17,120,15170,15200,0,0,0
Application_1535675187,0,8500,167.07,60,8500,8500,894,0,1
Application_1535683675,1,0,517.27,12,0,6000,832,0,0
Application_1535887425,1,3260,380.87,92,30000,30000,839,0,0
Application_1535972219,1,25000,640.22,42,25000,25000,820,0,0
Application_1535977137,1,15000,154.11,120,15000,15000,832,0,0
Application_1536004894,1,10000,200.95,56,10000,10000,820,0,0
Application_1536025676,1,15000,281.65,60,15000,15000,716,0,0
Application_1536382522,1,15000,154.11,120,15000,15000,926,0,0
Application_1536489049,1,8546.8,307.65,98,25000,25000,823,0,0
Application_153662314,1,15000,113.33,180,15000,15000,1030,0,0
Application_1536735951,1,15000,344.04,48,15000,15000,1004,0,0
Application_1537004906,1,10000,189.08,60,10000,10000,961,0,0
Application_1537069379,1,24247,468.32,60,25000,25000,943,0,0
Application_1537110918,0,10000,500,32,15000,15000,953,0,0
Application_1537320657,1,15000,278.38,60,25000,15000,820,1,1
Application_1537912499,1,5586,254.56,120,25000,25000,831,0,0
Application_1538031590,0,0,298.01,48,0,12800,696,0,0
Application_1538329787,1,6000,89.41,83,6500,6000,883,1,0
Application_1538915578,1,0,439.07,24,10000,10000,978,0,0
Application_153953477,1,0,100,58,5000,5000,1000,0,0
Application_1539830369,1,4000,400,72,25000,25000,813,0,0
Application_1539865472,1,10000,189.08,60,10000,10000,826,0,0
Application_1539966278,1,94,209.07,120,10000,19900,0,0,0
Application_1540139721,1,9700,310,56,15500,15500,779,0,0
Application_1540147673,1,1250,100,58,5000,5000,0,0,0
Application_1540206585,1,42000,501.16,99,42000,42000,870,0,0
Application_1540267654,1,10000,189.08,60,10000,10000,1064,0,0
Application_1540449226,0,27500,622.42,48,27500,27500,0,0,0
Application_1540484245,1,15000,149.18,125,15000,15000,960,0,0
Application_1540717335,1,17274,300,126,30000,30000,905,0,0
Application_1540837872,0,2000,1000,56,50000,50000,0,0,0
Application_1540988654,1,0,400,126,40000,40000,818,0,0
Application_1541112355,1,9500,247.44,43,9500,9500,870,0,0
Application_1542239327,1,0,400,126,40000,40000,0,0,0
Application_1542444551,1,8000,244.52,36,8000,8000,1067,0,0
Application_1542658403,1,5000,100,134,10000,10000,0,0,0
Application_154276965,1,17000,225.69,88,17000,17000,871,0,0
Application_1543346933,0,50000,838.93,68,50000,50000,1028,0,0
Application_1543521670,1,15000,154.11,120,15000,15000,757,0,0
Application_1544217945,1,0,250,69,15000,15000,853,0,0
Application_1544226520,0,0,300,101,25000,25000,771,0,1
Application_1544450093,1,5000,97.4,60,5000,5000,956,0,0
Application_1544580039,1,0,250,69,15000,15000,0,0,0
Application_1544778500,0,4065,133.07,120,10000,12500,904,0,1
Application_1544882126,1,60000,610.93,120,60000,60000,992,0,0
Application_1544952493,1,0,450,77,30000,30000,812,0,0
Application_1544975283,1,4545,570.21,120,56000,56000,0,0,0
Application_1545026667,1,13122,617.8,58,0,32000,759,0,1
Application_1545184523,1,0,200,127,0,20000,1034,0,0
Application_1545272552,1,5000,199.14,27,5000,5000,1022,0,0
Application_1545521329,0,5000,50,138,5000,5000,0,0,0
Application_1545618669,1,7000,78.82,120,7000,7000,1007,0,0
Application_1545623369,1,17000,268.4,72,0,17000,968,0,0
Application_1545993826,1,0,150,100,12000,12000,1053,0,0
Application_1546052937,1,3827,392.02,120,38500,38500,906,0,1
Application_1546197205,1,14300,143,134,14300,14300,903,0,0
Application_154623800,0,1000,200,27,5000,5000,0,0,0
Application_1546275434,1,0,100,58,5000,5000,1004,0,0
Application_1546287413,0,4000,300,18,5000,5000,1042,0,0
Application_1546433537,1,15000,195.38,90,15000,15000,0,0,0
Application_1546579068,1,75,503.4,50,23000,23000,927,0,0
Application_1546625016,1,15000,195.38,90,15000,15000,880,0,0
Application_1546754076,1,0,150,127,15000,15000,1021,0,1
Application_1546938529,1,3942,371.17,60,20000,20000,906,0,0
Application_1547052394,1,7000,194.52,40,7000,7000,1080,0,0
Application_1548257044,0,5000,97.4,60,5000,5000,742,0,0
Application_1548361729,1,15000,444.96,36,15000,15000,0,0,0
Application_1548427030,0,14960,460.21,120,44000,44000,0,0,0
Application_1548782450,1,119,295.83,110,26400,26400,848,0,0
Application_1548906736,1,6236,117.1,120,11000,11000,715,0,0
Application_1549050622,0,6500,150,49,6500,6500,852,0,1
Application_1549089757,1,8000,159.49,59,8000,8000,1020,0,0
Application_1549242228,1,10011,763.67,120,75000,75000,0,0,0
Application_1549537550,1,6691,199.79,47,0,8300,1070,0,0
Application_1549646306,1,5000,76.74,80,5000,5000,0,0,0
Application_1550989829,1,5500,134.93,46,5500,5500,1060,0,0
Application_1550995299,1,20000,496.56,44,20000,20000,996,0,0
Application_1551324804,1,15000,158.37,116,15000,15000,1023,0,0
Application_1551643269,1,11027,299.39,113,28000,28000,901,0,0
Application_1551651697,1,5000,222.31,24,5000,5000,0,0,1
Application_1551653862,0,5000,277.22,19,5000,5000,601,0,0
Application_1551666038,1,0,461.78,60,25000,25000,996,0,0
Application_1551687021,1,10000,249.58,44,10000,10000,874,0,0
Application_1551786791,1,12500,206.71,70,12500,12500,783,0,0
Application_1551915148,1,0,170,127,0,17000,858,0,1
Application_1551954124,0,5000,150,49,6500,6500,0,0,0
Application_1552304409,1,0,450,119,43000,43000,0,0,0
Application_1552563574,1,3511,316.93,80,22000,22000,887,0,0
Application_1552840342,1,0,385,126,38500,38500,0,0,0
Application_1552917690,1,0,130,58,6500,6500,1046,0,0
Application_1553016273,0,500,57,121,5200,5200,0,0,0
Application_1553018097,1,30000,305.47,120,30000,30000,986,0,0
Application_1553414615,1,5000,118.15,48,5000,5000,874,0,0
Application_1554006137,0,10000,189.08,60,10000,10000,0,0,0
Application_1554154006,1,6228.96,296.2,56,15000,15000,754,0,0
Application_1554699906,1,15000,154.11,120,15000,15000,0,0,1
Application_1554735700,1,10761,350.68,47,15000,15000,1036,0,0
Application_1555189736,1,1500,700,126,70000,70000,859,0,0
Application_1555229754,1,5000,100.25,58,5000,5000,1063,0,0
Application_155555799,1,20000,205.49,120,20000,20000,912,0,1
Application_1555815980,1,5000,264.04,20,5000,5000,992,0,0
Application_1555832622,1,5000,98.28,60,5000,5000,1090,0,0
Application_1555975178,1,47.11,328.89,120,32300,32300,907,0,0
Application_1555979320,1,7000,311.24,24,7000,7000,1009,0,0
Application_1556330253,0,8500,170,58,8500,8500,937,0,0
Application_1556332679,1,22000,249.96,106,22000,22000,905,0,1
Application_1556428552,1,0,400,126,40000,40000,991,0,0
Application_1556535236,0,6000,300,22,6000,6000,1048,0,0
Application_155671708,1,10000,222.33,50,10000,10000,1085,0,0
Application_1556895219,1,15000,296.2,56,15000,15000,1033,0,0
Application_1556896276,1,5700,134.69,48,5700,5700,990,0,0
Application_1556952402,1,20000,371.17,60,20000,20000,917,0,0
Application_1557573818,1,60000,610.93,120,60000,60000,938,0,0
Application_1557692016,1,5000,100.25,58,5000,5000,851,0,0
Application_1557848417,0,0,200,100,16500,16500,717,0,0
Application_1558264214,0,0,150,127,15000,15000,624,0,0
Application_1558313937,1,5000,469.02,11,5000,5000,834,0,0
Application_1558496847,1,6323,315.77,72,20000,20000,1037,0,0
Application_1558911791,1,10317,306.14,96,15000,25000,919,0,0
Application_1559121520,1,9500,336.43,67,20000,20000,850,0,0
Application_1559195255,1,729,191.27,60,0,10000,836,0,1
Application_1559471075,1,35000,366.08,120,0,35000,1039,0,0
Application_1559533192,1,5000,97.4,60,5000,5000,917,0,0
Application_1559634770,1,5000,152.82,36,5000,5000,969,0,0
Application_1559903539,1,14000,500,126,0,50000,923,0,1
Application_1559945672,1,35000,356.38,120,35000,35000,886,0,0
Application_1560374875,1,10000,200,57,10000,10000,890,0,0
Application_1560578035,1,0,350,126,35000,35000,974,0,0
Application_1560579462,0,5000,97.4,60,5000,5000,666,0,0
Application_1560789819,1,0,450,77,30000,30000,909,0,0
Application_1560848257,0,39000,594.27,76,40000,39000,743,1,0
Application_156118453,1,0,250,126,25000,25000,0,0,0
Application_1561493056,1,4968,150,127,15000,15000,791,0,0
Application_1561581762,1,3200,189.08,60,10000,10000,906,0,1
Application_156172264,1,1900,120,112,10500,10500,0,0,0
Application_1562004107,1,7320.14,394.13,41,15000,15000,728,0,0
Application_156205308,0,6500,176.67,41,6500,6500,834,0,0
Application_1562279625,0,10500,447.54,25,10500,10500,642,0,0
Application_1562449649,1,1250,150,127,15000,15000,989,0,0
Application_1562493713,0,20000,205.49,120,20000,20000,0,0,0
Application_1562532315,0,8000,68.87,180,8000,8000,0,0,1
Application_1562591338,0,5000,300,41,0,11000,0,0,0
Application_1562801332,1,10000,189.08,60,10000,10000,913,0,0
Application_1562906523,0,5000,250,45,10000,10000,986,0,0
Application_1563155816,1,15000,500,56,25000,25000,0,0,0
Application_1563552265,1,0,97.4,60,5000,5000,775,0,0
Application_1563935994,1,0,300,78,20000,20000,872,0,0
Application_1564442059,1,5399,154.11,120,15000,15000,833,0,0
Application_1564472847,1,476.7,121.64,180,16050,16100,1014,0,0
Application_1565002550,1,8000,308.03,28,6000,8000,743,0,0
Application_1565090529,1,15000,154.11,120,20000,15000,894,1,0
Application_1565590572,1,1891,296.2,56,15000,15000,901,0,0
Application_1565653243,1,0,473.29,100,40000,40000,962,0,1
Application_156660458,1,22000,350,126,35000,35000,889,0,0
Application_1566761780,1,8000,103.09,100,8000,8000,768,0,0
Application_1566791305,1,6000,147.2,46,6000,6000,1030,0,0
Application_1566823764,1,5000,175.23,31,5000,5000,984,0,0
Application_1566862513,0,8000,298.17,29,8000,8000,0,0,0
Application_156712942,1,5487.72,356.38,120,0,35000,876,0,0
Application_1567410642,1,6181,450.06,120,6000,44200,0,0,0
Application_1567643736,1,15000,157.59,120,15000,15000,870,0,0
Application_1568010629,1,928,376.74,120,37000,37000,914,0,0
Application_1568109043,1,0,150,58,7500,7500,967,0,0
Application_1568951817,1,5000,222.31,24,5000,5000,1024,0,0
Application_1569475999,1,0,100,86,7000,7000,953,0,0
Application_1569534118,0,15921,388.07,90,30000,30000,776,0,0
Application_1570000108,0,743,717.92,90,55500,55500,819,0,0
Application_1570040276,1,10000,498.68,21,10000,10000,963,0,0
Application_1570042343,0,5500,150,41,5500,5500,620,0,0
Application_1570059554,1,33107,565.22,72,36000,36000,859,0,0
Application_1570123628,1,5000,97.4,60,5000,5000,883,0,0
Application_1571103508,0,2000,300,25,7000,7000,789,0,0
Application_157112322,1,5000,152.82,36,5000,5000,997,0,0
Application_1571300931,1,15000,278.38,60,15000,15000,1057,0,1
Application_1571452825,1,14000,290.57,54,14000,14000,892,0,0
Application_157155173,1,16500,374.87,48,16500,16500,759,0,1
Application_1571551830,0,5000,222.31,24,5000,5000,0,0,0
Application_1571626886,1,5059,447.02,72,0,28000,964,0,0
Application_1571678266,1,10000,106.46,120,10000,10000,938,0,0
Application_1571882566,1,25000,254.56,120,22500,25000,0,0,0
Application_1571926896,1,5000,97.4,60,5000,5000,1055,0,1
Application_1571967882,1,20000,205.49,120,0,20000,943,0,0
Application_1572073029,1,5000,100,58,5000,5000,1065,0,0
Application_1572207328,1,0,300,94,23500,23500,744,0,0
Application_157231053,1,5609,178.84,100,150000,15000,841,1,0
Application_1572358495,1,0,100,134,10000,10000,0,0,0
Application_1572784952,0,5000,97.4,60,0,5000,723,0,0
Application_1572847379,1,0,330,126,0,33000,0,0,0
Application_1573627848,1,10000,150,80,10000,10000,933,0,0
Application_1573701770,1,550,154.11,120,0,15000,1053,0,0
Application_1573870055,0,10000,230.66,48,15000,10000,0,1,1
Application_1574427605,0,45000,470.67,120,45000,45000,0,0,0
Application_1574960885,1,5000,118.15,48,5000,5000,984,0,0
Application_1575177058,1,0,200,89,15000,15000,958,0,0
Application_1575429255,1,0,210,127,0,21000,838,0,1
Application_1575444304,1,0,499.6,55,25000,25000,894,0,0
Application_1575691668,1,15000,154.11,120,15000,15000,852,0,0
Application_1575815132,1,10000,124.88,98,10000,10000,874,0,0
Application_1575935451,1,10000,246.69,45,10000,10000,907,0,0
Application_157617137,0,5000,56.3,120,5000,5000,0,0,0
Application_1577074476,1,0,100,72,6000,6000,1064,0,0
Application_1577235925,1,15000,154.11,120,15000,15000,947,0,0
Application_1577285889,0,781,60,138,6000,6000,938,0,0
Application_1577301082,1,5000,50,138,15000,5000,910,1,0
Application_1577366036,1,30000,706.16,46,30000,30000,945,0,0
Application_1577601300,1,2198,254.56,120,25000,25000,841,0,0
Application_157859682,0,0,220.9,120,0,21500,864,0,1
Application_1578621751,1,8950,304.74,90,9000,23000,986,0,0
Application_1578640551,1,25000,254.56,120,0,25000,0,0,0
Application_1578794672,1,10912,397.99,96,0,32500,927,0,0
Application_1578832551,1,6087,299.64,80,23000,20800,954,1,0
Application_1579179340,1,20000,401.42,55,20000,20000,766,0,0
Application_1579221526,1,35000,650,126,75000,65000,887,1,0
Application_1579257458,1,4864.83,509.11,120,50000,50000,904,0,0
Application_1579395354,1,16000,173.79,112,16000,16000,814,0,0
Application_1579405556,0,20000,205.49,120,20000,20000,825,0,0
Application_1579516377,1,0,500,126,50000,50000,917,0,0
Application_1579588184,0,1000,62,138,6200,6200,0,0,1
Application_1579902110,1,6642,269.83,120,26500,26500,920,0,0
Application_1580005445,1,0,140,63,7500,7500,971,0,0
Application_1580066848,1,10000,144.6,82,9500,10000,746,0,0
Application_1580098741,1,11000,210.4,60,11000,11000,951,0,0
Application_1580331150,1,2100,196.24,120,0,19100,813,0,1
Application_1580503830,1,35000,261.02,180,0,35000,904,0,0
Application_1580560695,1,16000,249.58,73,20000,16000,868,1,1
Application_1580664920,1,6000,250,126,24500,25000,0,0,0
Application_1581065763,1,11000,149.99,88,11000,11000,709,0,0
Application_1581084985,1,5280,154.11,120,15000,15000,938,0,0
Application_1581096487,1,1988,371.17,60,13000,20000,864,0,0
Application_1581140687,1,7000,99.58,88,7000,7000,895,0,0
Application_1581333752,1,15000,178.84,100,10000,15000,860,0,0
Application_1581356559,1,15671,298.93,78,20000,20000,955,0,1
Application_158145312,1,88,235.28,120,22900,22900,804,0,0
Application_1581835262,1,12000,488.38,26,12000,12000,974,0,0
Application_1581849799,1,10000,106.46,120,10000,10000,864,0,0
Application_1581922106,1,15000,229.23,76,15000,15000,1019,0,0
Application_1582198848,1,79,505.03,68,0,30100,965,0,0
Application_1582627846,1,10000,150.8,78,10000,10000,926,0,0
Application_1582681038,1,11540.79,355.62,120,34000,34000,846,0,0
Application_1583111802,1,2664,200.39,105,0,17500,776,0,0
Application_1583209065,1,5000,650,103,55000,55000,0,0,0
Application_1583267403,1,5000,100.25,58,5000,5000,963,0,1
Application_1583345011,1,0,112,58,5600,5600,799,0,0
Application_1583597725,1,7000,311.24,24,7000,7000,920,0,0
Application_1583916667,1,2144,301.06,55,15000,15000,895,0,0
Application_1584210194,1,5000,149.07,37,5000,5000,1003,0,0
Application_1584263540,1,14250,499.34,39,18000,18000,879,0,1
Application_1584306755,0,7000,97.84,90,7000,7000,0,0,0
Application_158442522,1,0,349,105,30000,30000,910,0,1
Application_1584479496,1,40000,628.02,72,35000,40000,912,0,0
Application_158464854,1,800,100,58,5000,5000,955,0,0
Application_1584764827,1,2705,67.56,120,0,6000,979,0,0
Application_1584953437,1,5383,106.46,120,10000,10000,896,0,0
Application_1585141886,1,3800,288,126,0,28800,0,0,0
Application_158521766,1,25000,254.56,120,35000,25000,0,1,0
Application_1585386179,1,0,250,126,0,25000,0,0,0
Application_1585429645,0,6000,183.39,36,6000,6000,0,0,0
Application_1585699297,0,8000,200,127,20000,20000,0,0,0
Application_1585935767,1,15000,249.04,68,10000,15000,862,0,0
Application_1586046404,1,5000,152.82,36,5000,5000,929,0,0
Application_1586380636,1,1100,200.95,56,10000,10000,825,0,0
Application_1586981976,1,7,148.72,117,13500,13700,875,0,0
Application_1587099173,1,9200,400,126,40000,40000,0,0,0
Application_1588008492,1,10803,199.41,73,12500,12500,941,0,0
Application_1588135822,1,0,208.82,180,0,28000,842,0,1
Application_1588316921,1,273,1034.39,60,56000,56000,898,0,0
Application_1588335408,1,7000,136.35,60,7000,7000,880,0,0
Application_1588338664,1,13811,696.76,75,14000,46000,949,0,0
Application_1588453219,0,0,500,97,42500,40500,0,1,0
Application_1588476660,0,17500,241.74,84,17500,17500,0,0,0
Application_158863654,1,0,750,126,75000,75000,0,0,0
Application_1588847225,1,500,200,111,18000,18000,891,0,1
Application_1589286873,1,98,300.26,93,24000,23700,842,1,0
Application_15895190,1,5000,100.25,58,5000,5000,795,0,0
Application_1589761842,1,11125,275,112,25000,25000,813,0,0
Application_1590274915,1,3749.75,157.59,120,0,15000,1000,0,0
Application_1590359938,1,10000,106.46,120,10000,10000,835,0,0
Application_1590439755,0,0,125,72,7500,7500,0,0,0
Application_1590453625,0,5000,63,103,5000,5000,0,0,0
Application_159075089,1,2640,305.47,120,30000,30000,945,0,0
Application_1590764969,1,25000,745.88,36,25000,25000,1004,0,0
Application_1590922232,0,3000,150,80,10000,10000,0,0,0
Application_1591194403,1,10000,197.83,57,10000,10000,825,0,0
Application_1591209374,1,5000,149.93,37,5000,5000,1067,0,0
Application_1591405559,1,320,56.3,120,5000,5000,768,0,0
Application_1591623907,0,22665.06,305.47,120,0,30000,705,0,1
Application_1591827409,0,7000,165.4,48,7000,7000,680,0,0
Application_1591842500,1,7000,311.24,24,7000,7000,869,0,0
Application_1592255203,1,5000,50,138,5000,5000,724,0,0
Application_1592579197,0,2750,150,100,12000,12000,0,0,0
Application_1592781422,0,5117.69,186.99,120,5000,18200,924,0,0
Application_1592972291,1,19923,560.02,120,0,55000,992,0,0
Application_159300793,1,8500,152.78,66,8500,8500,951,0,0
Application_1593076472,0,9500,150,106,12500,12500,883,0,0
Application_1593090463,1,15000,444.96,36,15000,15000,941,0,0
Application_1593526429,1,17500,315.38,62,17500,17500,932,0,0
Application_1593639164,1,15000,296.2,56,15000,15000,1039,0,0
Application_1593705186,1,17000,174.66,120,17000,17000,862,0,0
Application_1593708809,1,957,165.4,48,7000,7000,901,0,0
Application_1594317140,0,2943,181.87,98,15000,15000,907,0,0
Application_1594453771,1,821,152.82,36,5000,5000,872,0,1
Application_1594940843,1,35000,356.38,120,35000,35000,965,0,0
Application_1595554552,1,0,400,99,10000,33000,0,0,0
Application_1595644784,1,10000,189.08,60,10000,10000,853,0,0
Application_1595696801,1,50000,509.11,120,50000,50000,1000,0,0
Application_159587357,1,3731.9,285.1,120,27000,28000,781,0,1
Application_1596070205,1,25000,254.56,120,0,25000,962,0,0
Application_159634573,1,0,260,126,26000,26000,0,0,0
Application_1596381085,1,15000,249.04,68,15000,15000,797,0,0
Application_159653881,1,10000,200.01,57,10000,10000,922,0,0
Application_1596597120,1,5000,100.25,58,0,5000,976,0,1
Application_1596918091,0,13800,250.02,63,13800,13800,648,0,1
Application_1597023499,1,6500,300,126,30000,30000,886,0,0
Application_1597735097,1,10000,176.31,65,10000,10000,997,0,0
Application_1597771561,1,0,300.07,36,10000,10000,926,0,0
Application_1598268086,0,5000,100.25,58,5000,5000,0,0,0
Application_15984038,1,40000,407.29,120,40000,40000,0,0,0
Application_1598630062,1,0,350,126,20000,35000,921,0,0
Application_1598894275,1,0,180,127,18000,18000,799,0,0
Application_1599304156,1,4282,478.05,36,0,16000,921,0,0
Application_1599405351,1,20000,279.13,83,20000,20000,933,0,0
Application_1599731492,1,0,200,57,10000,10000,988,0,0
Application_1599824725,0,25000,254.56,120,25000,25000,768,0,0
Application_1599989064,0,0,150,127,15000,15000,889,0,0
Application_160003850,0,5648,110.7,84,5250,7500,0,0,1
Application_1600155880,1,15000,255.7,66,10000,15000,947,0,0
Application_160021106,0,5500,168.1,36,5500,5500,694,0,0
Application_1600246598,1,0,400,56,20000,20000,980,0,0
Application_1600658059,1,0,125,89,10000,9000,0,1,0
Application_1600812392,1,0,273.28,110,25000,25000,1031,0,0
Application_1600961137,0,10094,346.2,120,72000,34000,900,1,0
Application_1600982783,1,6000,250,69,12500,15000,930,0,0
Application_1601041346,0,9949,783.14,20,15000,15000,0,0,0
Application_1601588285,1,0,100,134,10000,10000,924,0,0
Application_1601608603,0,0,85,138,8500,8500,1009,0,1
Application_1601792198,1,4804,458.15,80,32000,32000,786,0,0
Application_160217815,1,0,500,126,0,50000,0,0,0
Application_1602302483,0,0,250,126,25000,25000,0,0,0
Application_1602818108,1,0,150,127,15000,15000,0,0,0
Application_1602958035,1,2500,200,127,20000,20000,0,0,0
Application_160303236,1,0,75,102,6000,6000,0,0,0
Application_160351289,1,12500,375.09,36,12500,12500,936,0,0
Application_1603533873,1,7500,146.09,60,7500,7500,759,0,0
Application_1603793312,1,192,431.73,120,42000,42400,998,0,0
Application_1604007401,0,5000,431.05,12,5000,5000,0,0,0
Application_1604379174,1,15000,500,126,50000,50000,0,0,0
Application_1604635836,1,4641.98,265.42,70,16000,16400,905,0,0
Application_1604706641,1,4836,174.66,120,17000,17000,995,0,0
Application_1604779942,1,9143,195.21,120,19000,19000,867,0,0
Application_1605167956,1,0,120,134,0,12000,873,0,0
Application_1605473699,0,8000,250.86,35,8000,8000,700,0,1
Application_1605512326,1,13000,226.18,66,13000,13000,926,0,0
Application_1605786633,1,10300,254.56,120,10000,25000,0,0,0
Application_1605888035,1,26000,408.21,72,26000,26000,1037,0,0
Application_1605931329,0,280,194.18,120,18900,18900,0,0,0
Application_1606123452,0,0,250,22,5000,5000,854,0,1
Application_1606405609,1,3806,249.04,68,0,15000,816,0,0
Application_1606631152,0,5003,654.67,84,6000,47700,0,0,0
Application_1606801839,1,1521,178.84,100,15000,15000,977,0,0
Application_1607028451,0,2500,175,127,20000,17500,0,1,0
Application_1607208848,1,5000,100.25,58,5000,5000,0,0,0
Application_1607247834,1,5000,100.25,58,5000,5000,973,0,0
Application_1607375745,0,25000,254.56,120,40000,25000,0,1,0
